# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   10.468096828    1.672318778    1.774575870    1.730829381
   10.518178631    1.666302654    1.767652257    1.724264876
   10.568260434    1.660365981    1.760819946    1.717787328
   10.618342237    1.654507377    1.754077355    1.711395222
   10.668424040    1.648725494    1.747422934    1.705087079
   10.718505843    1.643019007    1.740855166    1.698861450
   10.768587646    1.637386625    1.734372567    1.692716917
   10.818669449    1.631827080    1.727973684    1.686652092
   10.868751252    1.626339132    1.721657095    1.680665616
   10.918833055    1.620921570    1.715421407    1.674756160
   10.968914858    1.615573203    1.709265257    1.668922420
   11.018996661    1.610292870    1.703187310    1.663163123
   11.069078464    1.605079431    1.697186259    1.657477020
   11.119160267    1.599931770    1.691260824    1.651862888
   11.169242070    1.594848796    1.685409750    1.646319529
   11.219323873    1.589829438    1.679631811    1.640845771
   11.269405676    1.584872648    1.673925802    1.635440465
   11.319487479    1.579977399    1.668290546    1.630102485
   11.369569282    1.575142686    1.662724887    1.624830729
   11.419651085    1.570367523    1.657227695    1.619624117
   11.469732888    1.565650944    1.651797860    1.614481589
   11.519814691    1.560992002    1.646434297    1.609402109
   11.569896494    1.556389771    1.641135940    1.604384660
   11.619978297    1.551843342    1.635901746    1.599428246
   11.670060100    1.547351823    1.630730692    1.594531889
   11.720141903    1.542914340    1.625621775    1.589694634
   11.770223706    1.538530039    1.620574013    1.584915540
   11.820305509    1.534198079    1.615586440    1.580193689
   11.870387312    1.529917638    1.610658114    1.575528178
   11.920469115    1.525687908    1.605788106    1.570918123
   11.970550918    1.521508098    1.600975508    1.566362656
   12.020632721    1.517377433    1.596219428    1.561860927
   12.070714524    1.513295150    1.591518993    1.557412101
   12.120796327    1.509260503    1.586873346    1.553015360
   12.170878130    1.505272761    1.582281644    1.548669902
   12.220959933    1.501331204    1.577743064    1.544374940
   12.271041736    1.497435129    1.573256795    1.540129700
   12.321123539    1.493583842    1.568822043    1.535933425
   12.371205342    1.489776667    1.564438030    1.531785372
   12.421287145    1.486012937    1.560103990    1.527684812
   12.471368948    1.482292000    1.555819173    1.523631027
   12.521450751    1.478613213    1.551582843    1.519623316
   12.571532554    1.474975948    1.547394276    1.515660988
