mu_eV,T_K,PF_W_per_mK2
-3.84554,500,0
-3.84554,600,0
-3.83262,300,0
-3.83262,400,0
-3.83262,500,0
-3.83262,600,0
-3.81969,300,0
-3.81969,400,0
-3.81969,500,0
-3.81969,600,0
-3.80678,300,0
-3.80678,400,0
-3.80678,500,0
-3.80678,600,0
-3.79385,300,0
-3.79385,400,0
-3.79385,500,0
-3.79385,600,0
-3.78093,300,0
-3.78093,400,0
-3.78093,500,0
-3.78093,600,0
-3.768,300,0
-3.768,400,0
-3.768,500,0
-3.768,600,0
-3.75509,300,0
-3.75509,400,0
-3.75509,500,0
-3.75509,600,0
-3.74217,300,0
-3.74217,400,0
-3.74217,500,0
-3.74217,600,0
-3.72924,300,0
-3.72924,400,0
-3.72924,500,0
-3.72924,600,0
-3.71633,300,0
-3.71633,400,0
-3.71633,500,0
-3.71633,600,0
-3.7034,300,0
-3.7034,400,0
-3.7034,500,0
-3.7034,600,0
-3.69048,300,0
-3.69048,400,0
-3.69048,500,0
-3.69048,600,0
-3.67757,300,0
-3.67757,400,0
-3.67757,500,0
-3.67757,600,0
-3.66464,300,0
-3.66464,400,0
-3.66464,500,0
-3.66464,600,0
-3.65171,300,0
-3.65171,400,0
-3.65171,500,0
-3.65171,600,0
-3.63879,300,0
-3.63879,400,0
-3.63879,500,0
-3.63879,600,0
-3.62588,300,0
-3.62588,400,0
-3.62588,500,0
-3.62588,600,0
-3.61295,300,0
-3.61295,400,0
-3.61295,500,0
-3.61295,600,0
-3.60003,300,0
-3.60003,400,0
-3.60003,500,0
-3.60003,600,0
-3.58712,300,0
-3.58712,400,0
-3.58712,500,0
-3.58712,600,0
-3.57419,300,0
-3.57419,400,0
-3.57419,500,0
-3.57419,600,0
-3.56126,300,0
-3.56126,400,0
-3.56126,500,0
-3.56126,600,0
-3.54834,300,0
-3.54834,400,0
-3.54834,500,0
-3.54834,600,0
-3.53543,300,0
-3.53543,400,0
-3.53543,500,0
-3.53543,600,0
-3.5225,300,0
-3.5225,400,0
-3.5225,500,0
-3.5225,600,0
-3.50958,300,0
-3.50958,400,0
-3.50958,500,0
-3.50958,600,0
-3.49666,300,0
-3.49666,400,0
-3.49666,500,0
-3.49666,600,0
-3.48374,300,0
-3.48374,400,0
-3.48374,500,0
-3.48374,600,0
-3.47081,300,0
-3.47081,400,0
-3.47081,500,0
-3.47081,600,0
-3.45789,300,0
-3.45789,400,0
-3.45789,500,0
-3.45789,600,0
-3.44498,300,0
-3.44498,400,0
-3.44498,500,0
-3.44498,600,0
-3.43205,300,0
-3.43205,400,0
-3.43205,500,0
-3.43205,600,0
-3.41913,300,0
-3.41913,400,0
-3.41913,500,0
-3.41913,600,0
-3.40621,300,0
-3.40621,400,0
-3.40621,500,0
-3.40621,600,0
-3.39329,300,0
-3.39329,400,0
-3.39329,500,0
-3.39329,600,0
-3.38036,300,0
-3.38036,400,0
-3.38036,500,0
-3.38036,600,0
-3.36745,300,0
-3.36745,400,0
-3.36745,500,0
-3.36745,600,0
-3.35453,300,0
-3.35453,400,0
-3.35453,500,0
-3.35453,600,0
-3.3416,300,0
-3.3416,400,0
-3.3416,500,0
-3.3416,600,0
-3.32867,300,0
-3.32867,400,0
-3.32867,500,0
-3.32867,600,0
-3.31576,300,0
-3.31576,400,0
-3.31576,500,0
-3.31576,600,0
-3.30284,300,0
-3.30284,400,0
-3.30284,500,0
-3.30284,600,0
-3.28991,300,0
-3.28991,400,0
-3.28991,500,0
-3.28991,600,0
-3.277,300,0
-3.277,400,0
-3.277,500,0
-3.277,600,0
-3.26407,300,0
-3.26407,400,0
-3.26407,500,0
-3.26407,600,0
-3.25115,300,0
-3.25115,400,0
-3.25115,500,0
-3.25115,600,0
-3.23822,300,0
-3.23822,400,0
-3.23822,500,0
-3.23822,600,0
-3.22531,300,0
