mu_eV,PF_W_per_mK2
7.03428,0.000221002
7.04721,0.000145453
7.06013,8.82487e-05
7.07306,4.91147e-05
7.08598,2.55996e-05
7.09891,1.35903e-05
7.11183,8.62007e-06
7.12476,7.30295e-06
7.13769,7.40847e-06
7.15061,6.97039e-06
7.16354,4.54753e-06
7.17646,1.05485e-06
7.18939,3.8917e-07
7.20231,6.56325e-06
7.21524,1.96121e-05
7.22816,3.49822e-05
7.24109,4.74224e-05
7.25401,5.52766e-05
7.26694,6.124e-05
7.27986,7.01697e-05
7.29279,8.68997e-05
7.30558,0.000115014
7.3185,0.000155527
7.33143,0.000205282
7.34436,0.000256271
7.35728,0.000296793
7.37021,0.000314684
7.38313,0.000302259
7.39606,0.000260925
7.40898,0.000201959
7.42191,0.000141415
7.43483,9.22132e-05
7.44776,5.93195e-05
7.46068,4.08565e-05
7.47361,3.23319e-05
7.48654,2.9695e-05
7.49946,2.99259e-05
7.51239,3.04059e-05
7.52531,2.84462e-05
7.53824,2.18358e-05
7.55116,1.08994e-05
7.56409,1.17993e-06
7.57701,3.72907e-06
7.58994,3.03666e-05
7.60286,8.59829e-05
7.61579,0.000164325
7.62871,0.000251272
7.64164,0.000332446
7.65457,0.000398957
7.66749,0.000448519
7.68042,0.000483559
7.69334,0.000508694
7.70627,0.000528624
7.71919,0.000546531
7.73212,0.000563023
7.74491,0.000576033
7.75783,0.000581688
7.77076,0.000575945
7.78368,0.000556316
7.79661,0.000523067
7.80953,0.000479507
7.82246,0.000431222
7.83539,0.00038442
7.84831,0.000343948
7.86124,0.00031181
7.87416,0.000286672
7.88709,0.000264368
7.90001,0.00023937
7.91294,0.00020707
7.92586,0.000166155
7.93879,0.000119765
7.95171,7.45101e-05
7.96464,3.75974e-05
7.97757,1.35196e-05
7.99049,2.25621e-06
8.00342,4.86313e-08
8.01634,2.04717e-06
8.02927,4.83102e-06
8.04219,7.27217e-06
8.05512,9.94491e-06
8.06804,1.4339e-05
8.08097,2.26437e-05
8.09389,3.78117e-05
8.10682,6.31263e-05
8.11974,0.000100797
8.13267,0.000149828
8.1456,0.000204278
8.15852,0.000253689
8.17145,0.000286902
8.18424,0.000297998
8.19716,0.000290245
8.21009,0.000274512
8.22301,0.000263362
8.23594,0.000265601
8.24886,0.000283771
8.26179,0.000313334
8.27471,0.000342817
8.28764,0.000356893
8.30056,0.00034339
8.31349,0.000300196
8.32642,0.000236252
8.33934,0.000165868
8.35227,0.000101527
8.36519,5.06315e-05
8.37812,1.65434e-05
8.39104,9.16431e-07
8.40397,4.74471e-06
8.41689,2.76464e-05
8.42982,6.6501e-05
8.44274,0.000114979
8.45567,0.000164643
8.46859,0.000206854
8.48152,0.000234173
8.49445,0.000241129
8.50737,0.000225099
8.5203,0.000187679
8.53322,0.000135622
8.54615,7.99747e-05
8.55907,3.32578e-05
8.572,5.55363e-06
8.58492,1.02313e-06
8.59785,1.65281e-05
8.61077,4.34824e-05
8.62356,7.21426e-05
8.63649,9.56116e-05
8.64941,0.000111173
8.66234,0.00011895
8.67527,0.000119741
8.68819,0.000113806
8.70112,0.000101162
8.71404,8.27342e-05
8.72697,6.11532e-05
8.73989,4.02399e-05
8.75282,2.33813e-05
8.76574,1.20749e-05
8.77867,5.74894e-06
8.79159,2.76094e-06
8.80452,1.55199e-06
8.81744,1.16929e-06
8.83037,1.19508e-06
8.8433,1.51228e-06
8.85622,2.15086e-06
8.86915,3.19135e-06
8.88207,4.61514e-06
8.895,6.06967e-06
8.90792,6.76223e-06
8.92085,5.87287e-06
8.93377,3.44965e-06
8.9467,8.73664e-07
8.95962,4.1791e-08
8.97255,1.8563e-06
8.98548,5.52746e-06
8.9984,9.21897e-06
9.01133,1.11993e-05
9.02425,1.06025e-05
9.03718,7.65399e-06
9.0501,3.59985e-06
9.06303,4.70163e-07
9.07582,6.59033e-07
9.08874,6.35292e-06
9.10167,1.89184e-05
9.11459,3.83308e-05
9.12752,6.27405e-05
9.14044,8.85002e-05
9.15337,0.000111086
9.16629,0.000126818
9.17922,0.000134473
9.19215,0.000135794
9.20507,0.000134704
9.218,0.000135836
9.23092,0.000143253
9.24385,0.000159582
9.25677,0.000185315
9.2697,0.000218061
9.28262,0.000252675
9.29555,0.000283093
9.30847,0.000305312
9.3214,0.000319397
9.33433,0.00032902
9.34725,0.000339409
9.36018,0.000355497
9.3731,0.000380988
9.38603,0.000418131
9.39895,0.000467343
9.41188,0.000526412
9.4248,0.000589775
9.43773,0.000648606
9.45065,0.000692502
9.46358,0.000712367
9.4765,0.000703367
9.48943,0.000666668
9.50236,0.000609102
9.51514,0.000540872
9.52807,0.00047226
9.541,0.000410938
9.55392,0.000361182
9.56685,0.000324827
9.57977,0.000302842
9.5927,0.000296382
